tweet_no	text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1	#عاجل #خادم_الحرمين_الشريفين يصدر أمره بمنع التجول للحد من انتشار #فيروس_كورونا الجديد ابتداءً من الساعة الـ 7 مساءً وحتى الساعة الـ 6 صباحًا لمدة ( 21 ) يومًا من مساء يوم الأثنين 28 رجب 1441هـ، الموافق 23 مارس 2020م. #واس URL	yes	no	yes	no	no	no	no
2	بعد كل الإجراءات الاحترازية التي تقوم بها #المملكة للحد من انتشار #كورونا . . . هل تؤيد فرض #حظر_تجول في #السعودية من الساعة (٧م) إلى الساعة (٧ص) ابتداء من يوم غدٍ الاحد . . - نعم أُوَيد ( #ريتويت ) ، ولماذا ؟ - لا أُوَيد ( #إعجاب ) ، ولماذا ؟ . .  #انا_مع_حظر_التجول_الاجباري URL	no	nan	nan	nan	nan	no	no
3	تصويت 🔴 .  . هل تعتقد أن ( حظر التجول ) الذي تُطبقه بعض الدول يمنع انتشار فيروس كورونا .. ولماذا ؟. .  . نعم = رتويت  . لا = مفضلة	no	nan	nan	nan	nan	no	no
4	ما هو دي دعواتنا	no	nan	nan	nan	nan	no	no
5	#الصحة تعلن عن تسجيل (١١٩) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد١٩). URL	yes	no	yes	no	no	no	no
6	#كلنا_مسؤول | فريق عمل مسلسل مخرج 7 يقدم مسؤوليته تجاه الوقاية من فيروس #كورونا الجديد بطريقته الخاصة. #التواصل_الحكومي URL	no	nan	nan	nan	nan	no	no
7	#الصحة تعلن عن تسجيل (٢٠٥) حالة إصابة جديدة بفيروس #كورونا الجديد(كوفيد١٩) وأول حالة وفاة لمقيم في المدينة المنورة. URL	yes	no	yes	no	no	no	no
8	انا كطبيب في الصفوف الاولى لمحاربة كورونا  محروم من رؤية امي وابي واطفالي.                       انتم   من سيحدد متى اراهم  لذلك اتمنى ان تلزم منزلك كي اراهم في اقرب فرصه وكلي لا تطول امد هذه الازمه بجلوسك في بيتك	no	nan	nan	nan	nan	no	no
9	مصيرنا واحد أمس واليوم وغدًا والطريقة المثلى لمواجهة كورونا الذي ليس له علاج حتى الآن هي التباعد الإجتماعي والحمدلله أن لنا قادة تصرفوا بحكمة وأعلوا من قيمة الإنسان لديهم في هذه الأزمة بشكل فاق بشدة حتى الدول المتقدمة.. ولكن الله يحفظك ما بقى إلا تقولين علقّنا العمرة قبلكم!..	yes	nan	yes	no	no	yes	yes
10	صحيفة newsweek الأمريكية:هل تعرف من الذي اقترح النظافة الشخصية والحجر الصحي أثناء الوباء؟إنه محمد نبي الإسلام قبل 1400 عام. لم يكن أبدا خبيرًا في مسائل الأمراض الفتاكة إلا أن محمد كان لديه نصيحة رائعة لمنع ومكافحة تطور وباء مثل فيروس كورونا لقراءة المقال URL	yes	no	yes	no	yes	no	no
