tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1	For the average American the best way to tell if you have covid-19 is to cough in a rich person’s face and wait for their test results	0	2	2	2	2	0	0
2	this is fucking bullshit	0	2	2	2	2	0	0
3	Can y’all please just follow the government’s instructions so we can knock this COVID-19 out and be done?! I feel like a kindergartner that keeps losing more recess time because one or two kids can’t follow directions.	0	2	2	2	2	0	0
4	No offense but the corona virus disappearing before April actually sucks	0	2	2	2	2	0	0
5	This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.  I feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 URL	1	0	1	0	1	0	0
6	Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice	1	0	0	0	0	0	0
7	After COVID-19 is over, I better NEVER hear anyone trash “low end” workers again. Those people at the grocery store, the Dollar General workers, those fast food workers, the Walmart employees, those people you didn't even think deserved to have a wage to survive on?	0	2	2	2	2	0	0
8	This is Dr. Usama Riaz. He spent past weeks screening and treating patients with Corona Virus in Pakistan.   He knew there was no PPE. He persisted anyways.  Today he lost his own battle with coronavirus but he gave life and hope to so many more.   KNOW HIS NAME 😭❤ URL	1	0	1	0	0	0	0
9	fun fact: its tradition for europeans to spread a potentially fatal disease to every other country not fully inhabited by white people &amp; not take accountability for the subsequent devastation &amp; lives lost	1	1	1	1	0	1	1
10	When this Corona shit passes we have to promise each other that we’re going to tell our kids that we survived a zombie apocalypse in 2020	0	2	2	2	2	0	0
11	So shortness of breath is a corona symptom right but you know what also gives me shortness of breath? Anxiety. And you know what has been giving me anxiety? Thinking I have corona.	0	2	2	2	2	0	1
12	So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. “Young people aren’t at risk, they’ll only have mild symptoms” Wrong.   I want to open up about the difficulties I’ve gone through these past days, what it was like in the ICU...	1	0	1	0	1	0	1
13	My mum has a PhD on Corona Virus from WhatsApp University	1	1	0	0	0	0	0
14	He told wealthy friends. Then cashed out a cool $1.4m in stock. Then voted AGAINST the covid-19 relief bill. He needs to go	1	2	1	1	1	1	1
15	future grandson: “hey grandpa want a corona?”  me: URL	0	2	2	2	2	0	0
16	Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 test-kits per week - URL	1	0	1	0	1	0	1
17	tw suicide, COVID-19  Hey, so, um, there's a big elephant in the room right now. COVID isn't the only epidemic happening right now - and it's come at a bad, bad time. Not that there's ever a good time.  There's a mental health epidemic happening, and we're gonna start seeing-	1	0	1	0	0	0	1
18	Celebrities keep trying to sing the virus away like this is a Disney movie or something	0	2	2	2	2	0	0
19	maybe if i develop feelings for covid-19 it will leave	0	2	2	2	2	0	0
20	THREAD: I mostly talk about movies on here, but here goes. We are currently pivoting our factory to solely make surgical masks and other medical garments in short supply. We can make 2 million masks a day, and are looking to help in any way possible during this time. #COVID19 URL	1	0	1	0	1	0	1
21	My mans House would pop 6 Vicodin on Thursday and have that cure by Saturday morning.	0	2	2	2	2	0	0
22	I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a pub, either side of a big table. Fresh air, no contact. Washed my hands 3 times.   Still caught corona from him.   Do not fuck around with this thing.	1	0	1	0	0	0	0
23	I do not understand how mcdonalds can serve two billion hamburgers every year but when I order five million at the drive thru it overwhelms the system	0	2	2	2	2	0	0
24	Bro China is out here reading niggas power levels and we cant even get adequate testing 🧐	0	2	2	2	2	0	1
25	When this corona shit is over please invite me out. I know I be flaky sometimes but my ass is going to come outside I promise lol	0	2	2	2	2	0	0
26	Y’all miss your ex, I miss life without the corona virus	0	2	2	2	2	0	0
27	“I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.” This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. URL	0	2	2	2	2	0	1
28	Please don't take hydroxychloroquine (Plaquenil) plus Azithromycin for #COVID19 UNLESS your doctor prescribes it. Both drugs affect the QT interval of your heart and can lead to arrhythmias and sudden death, especially if you are taking other meds or have a heart condition.	1	0	1	0	1	0	1
